restaurant_name,address,phone_number,website_url,happy_hour_times,regular_hours,rating,review_count,price_level,source,freshness_date,latitude,longitude,cheapest_drink,cheapest_drink_price,cheapest_food,cheapest_food_price,menu_summary
Trattoria da Sofia,"4055 Adams Ave, San Diego, CA 92116, USA",(619) 228-9094,https://trattoriadasofia.com/,Monday: 4:00 PM - 5:00 PM | Tuesday: 4:00 PM - 5:00 PM | Wednesday: 4:00 PM - 5:00 PM | Thursday: 4:00 PM - 5:00 PM | Friday: 4:00 PM - 5:00 PM | Saturday: 4:00 PM - 5:00 PM | Sunday: 4:00 PM - 5:00 PM,Monday: 4:00 – 9:00 PM | Tuesday: 4:00 – 9:00 PM | Wednesday: 4:00 – 9:00 PM | Thursday: 4:00 – 9:00 PM | Friday: 4:00 – 10:00 PM | Saturday: 4:00 – 10:00 PM | Sunday: 4:00 – 9:00 PM,4.6,252,,Website (AI parsed),2026-04-21,32.7630625,-117.1081469,,,,,
Rolberto's Taco Shop,"3462 Adams Ave, San Diego, CA 92116, USA",(619) 563-0438,https://www.orderrolbertos.com/,,Monday: 6:00 AM – 3:00 AM | Tuesday: 6:00 AM – 3:00 AM | Wednesday: 6:00 AM – 3:00 AM | Thursday: 6:00 AM – 3:00 AM | Friday: 6:00 AM – 3:00 AM | Saturday: 6:00 AM – 3:00 AM | Sunday: 6:00 AM – 3:00 AM,4.3,720,PRICE_LEVEL_INEXPENSIVE,Google Places API,2026-04-21,32.7635954,-117.1186605,,,,,
Street Side Thai Kitchen,"3025 University Ave, San Diego, CA 92104, USA",(619) 228-9208,http://www.streetsidethaikitchensd.com/,,Monday: 11:00 AM – 11:00 PM | Tuesday: 9:30 AM – 11:00 PM | Wednesday: 9:30 AM – 11:00 PM | Thursday: 9:30 AM – 11:00 PM | Friday: 9:30 AM – 11:00 PM | Saturday: 10:00 AM – 11:00 PM | Sunday: 10:00 AM – 11:00 PM,4.3,370,PRICE_LEVEL_MODERATE,Google Places API,2026-04-21,32.7482861,-117.1294126,,,,,
Et Voilà! French Bistro,"3015 Adams Ave, San Diego, CA 92116, USA",(619) 209-7759,http://etvoilabistro.com/,Monday: Closed | Tuesday: 4:30 – 7:00 PM | Wednesday: 4:30 – 7:00 PM | Thursday: 4:30 – 7:00 PM | Friday: 4:30 – 6:00 PM | Saturday: 4:30 – 6:00 PM | Sunday: 4:30 – 7:00 PM,Monday: Closed | Tuesday: 4:30 – 9:00 PM | Wednesday: 4:30 – 9:00 PM | Thursday: 4:30 – 9:00 PM | Friday: 4:30 – 9:30 PM | Saturday: 4:30 – 9:30 PM | Sunday: 4:30 – 8:00 PM,4.7,811,PRICE_LEVEL_MODERATE,Google Places API (Happy Hours),2026-04-21,32.76275,-117.12986670000001,,,,,
Urban Plates,"1620 Camino De La Reina Building E, San Diego, CA 92108, USA",(619) 877-0026,https://urbanplates.com/,,Monday: 11:00 AM – 9:15 PM | Tuesday: 11:00 AM – 9:15 PM | Wednesday: 11:00 AM – 9:15 PM | Thursday: 11:00 AM – 9:15 PM | Friday: 11:00 AM – 9:45 PM | Saturday: 11:00 AM – 9:45 PM | Sunday: 11:00 AM – 9:15 PM,4.9,1983,PRICE_LEVEL_MODERATE,Google Places API,2026-04-21,32.7708356,-117.14973819999999,,,,,
Blind Lady Ale House,"3416 Adams Ave, San Diego, CA 92116, USA",(619) 255-2491,http://www.blindladyalehouse.com/,Monday: 5:00 PM - 7:00 PM | Tuesday: 5:00 PM - 7:00 PM | Wednesday: 5:00 PM - 7:00 PM | Thursday: 5:00 PM - 7:00 PM | Friday: 12:00 PM - 6:00 PM | Saturday: 12:00 PM - 6:00 PM | Sunday: 12:00 PM - 6:00 PM,Monday: 5:00 – 11:00 PM | Tuesday: Closed | Wednesday: 5:00 – 11:00 PM | Thursday: 5:00 – 11:00 PM | Friday: 3:00 PM – 12:00 AM | Saturday: 12:00 PM – 12:00 AM | Sunday: 12:00 – 11:00 PM,4.7,1464,PRICE_LEVEL_MODERATE,Website (AI parsed),2026-04-21,32.7634973,-117.1202861,,,,,
Mauricio's #1 Mexican food,"3200 Adams Ave #102, San Diego, CA 92116, USA",(619) 285-1362,https://mauricios1mexicanfood.shop/,,Monday: 6:30 AM – 10:00 PM | Tuesday: 6:30 AM – 10:00 PM | Wednesday: 6:30 AM – 10:00 PM | Thursday: 6:30 AM – 10:00 PM | Friday: 6:30 AM – 10:00 PM | Saturday: 6:30 AM – 10:00 PM | Sunday: 6:30 AM – 10:00 PM,4.5,691,PRICE_LEVEL_INEXPENSIVE,Google Places API,2026-04-21,32.7636111,-117.12472220000001,,,,,
Church's Texas Chicken,"3495 El Cajon Blvd, San Diego, CA 92104, USA",(619) 584-4665,https://locations.churchs.com/ca/san-diego/3495-el-cajon-boulevard,,Monday: 9:00 AM – 11:00 PM | Tuesday: 9:00 AM – 11:00 PM | Wednesday: 9:00 AM – 11:00 PM | Thursday: 9:00 AM – 11:00 PM | Friday: 9:00 AM – 11:00 PM | Saturday: 9:00 AM – 11:00 PM | Sunday: 9:00 AM – 11:00 PM,3.8,1377,PRICE_LEVEL_INEXPENSIVE,Google Places API,2026-04-21,32.7549989,-117.1181953,,,,,
Madison,"4622 Park Blvd, San Diego, CA 92116, USA",(619) 269-6566,http://www.madisononpark.com/,Monday: Closed | Tuesday: 4:00 – 6:00 PM | Wednesday: 4:00 – 6:00 PM | Thursday: 4:00 – 6:00 PM | Friday: 4:00 – 6:00 PM | Saturday: 4:00 – 6:00 PM | Sunday: 4:00 – 6:00 PM,Monday: Closed | Tuesday: 5:00 – 8:30 PM | Wednesday: 5:00 – 8:30 PM | Thursday: 5:00 – 8:30 PM | Friday: 5:00 – 9:30 PM | Saturday: 5:00 – 9:30 PM | Sunday: 5:00 – 8:30 PM,4.5,1400,PRICE_LEVEL_MODERATE,Google Places API (Happy Hours),2026-04-21,32.7614508,-117.14645650000001,,,,,
The Hangout Restaurant and Bar,"2736 Adams Ave, San Diego, CA 92116, USA",(619) 640-2121,http://www.thehangoutrestaurantandbar.com/,Monday: Closed | Tuesday: Closed | Wednesday: Closed | Thursday: 3:00 PM - 6:00 PM | Friday: 3:00 PM - 6:00 PM | Saturday: 3:00 PM - 6:00 PM | Sunday: 3:00 PM - 6:00 PM,Monday: 8:00 AM – 3:00 PM | Tuesday: 8:00 AM – 3:00 PM | Wednesday: 8:00 AM – 3:00 PM | Thursday: 8:00 AM – 10:00 PM | Friday: 8:00 AM – 10:00 PM | Saturday: 8:00 AM – 10:00 PM | Sunday: 8:00 AM – 10:00 PM,4.7,49,,Website (AI parsed),2026-04-21,32.7632105,-117.134357,,,,,
Bosforo,"3201 Adams Ave, San Diego, CA 92116, USA",(619) 634-9646,https://bosforosd.com/,,Monday: Closed | Tuesday: 5:00 – 9:30 PM | Wednesday: 5:00 – 9:30 PM | Thursday: 5:00 – 9:30 PM | Friday: 5:00 – 10:00 PM | Saturday: 5:00 – 10:00 PM | Sunday: 5:00 – 9:00 PM,4.6,364,,Google Places API,2026-04-21,32.7631797,-117.1247748,,,,,
Bleu Bohème,"4090 Adams Ave, San Diego, CA 92116, USA",(619) 255-4167,http://www.bleuboheme.com/,Monday: Closed | Tuesday: Closed | Wednesday: Closed | Thursday: Closed | Friday: Closed | Saturday: Closed | Sunday: Closed,Monday: Closed | Tuesday: 5:00 – 8:00 PM | Wednesday: 5:00 – 8:00 PM | Thursday: 5:00 – 8:00 PM | Friday: 5:00 – 9:00 PM | Saturday: 5:00 – 9:00 PM | Sunday: Closed,4.5,655,PRICE_LEVEL_MODERATE,Website (AI parsed),2026-04-21,32.7634548,-117.1075274,,,,,
Fortuna Ristorante Italiano,"4207 Park Blvd, San Diego, CA 92103, USA",(619) 310-5739,https://fortunasandiego.com/,,Monday: 4:00 – 9:30 PM | Tuesday: 4:00 – 9:30 PM | Wednesday: 4:00 – 9:30 PM | Thursday: 4:00 – 9:30 PM | Friday: 4:00 – 10:00 PM | Saturday: 11:30 AM – 10:00 PM | Sunday: 11:30 AM – 9:00 PM,4.9,297,,Google Places API,2026-04-21,32.7542435,-117.1460298,,,,,
Brother's Mexican Restaurant,"4006 30th St, San Diego, CA 92104, USA",(619) 563-5647,https://www.clover.com/online-ordering/brothers-mexican-food-re-san-diego,,Monday: 8:00 AM – 10:00 PM | Tuesday: 8:00 AM – 10:00 PM | Wednesday: 8:00 AM – 10:00 PM | Thursday: 8:00 AM – 10:00 PM | Friday: 6:00 AM – 2:00 AM | Saturday: 6:00 AM – 2:00 AM | Sunday: 8:00 AM – 10:00 PM,4.5,313,PRICE_LEVEL_MODERATE,Google Places API,2026-04-21,32.750575,-117.1304083,,,,,
Dos Palmas Cafe - Normal Heights,"3562 Adams Ave, San Diego, CA 92116, USA",(619) 496-4343,https://www.dospalmascafe.com/,,Monday: 7:00 AM – 2:00 PM | Tuesday: 7:00 AM – 2:00 PM | Wednesday: 7:00 AM – 2:00 PM | Thursday: 7:00 AM – 2:00 PM | Friday: 7:00 AM – 2:00 PM | Saturday: 7:00 AM – 2:00 PM | Sunday: 7:00 AM – 2:00 PM,4.9,590,PRICE_LEVEL_INEXPENSIVE,Google Places API,2026-04-21,32.7635282,-117.11595919999999,,,,,
Working Class,"4095 30th St, San Diego, CA 92104, USA",(619) 642-0114,http://www.workingclasssd.com/,Monday: 3:00 – 6:00 PM | Tuesday: 3:00 – 6:00 PM | Wednesday: 3:00 – 6:00 PM | Thursday: 3:00 – 6:00 PM | Friday: 3:00 – 6:00 PM | Saturday: Closed | Sunday: Closed,Monday: 9:00 AM – 10:00 PM | Tuesday: 9:00 AM – 10:00 PM | Wednesday: 9:00 AM – 10:00 PM | Thursday: 9:00 AM – 10:00 PM | Friday: 9:00 AM – 10:00 PM | Saturday: 9:00 AM – 10:00 PM | Sunday: 9:00 AM – 9:00 PM,4.5,860,PRICE_LEVEL_MODERATE,Google Places API (Happy Hours),2026-04-21,32.752063,-117.1299853,,,,,
Ximalli Restaurant,"3677 University Ave, San Diego, CA 92104, USA",(619) 359-0235,https://ximalli.restaurant/,,Monday: 8:00 AM – 10:00 PM | Tuesday: 8:00 AM – 10:00 PM | Wednesday: 8:00 AM – 10:00 PM | Thursday: 8:00 AM – 10:00 PM | Friday: 8:00 AM – 10:00 PM | Saturday: 8:00 AM – 10:00 PM | Sunday: 8:00 AM – 10:00 PM,5,8,,Google Places API,2026-04-21,32.749582,-117.11367539999999,,,,,
DAO Fu,"3332 Adams Ave, San Diego, CA 92116, USA",(619) 281-6888,https://daofu.has.restaurant/,,"Monday: Closed | Tuesday: 11:00 AM – 2:00 PM, 5:00 – 8:30 PM | Wednesday: 11:00 AM – 2:00 PM, 5:00 – 8:30 PM | Thursday: 11:00 AM – 2:00 PM, 5:00 – 8:30 PM | Friday: 11:00 AM – 2:00 PM, 5:00 – 9:00 PM | Saturday: 11:00 AM – 2:00 PM, 5:00 – 9:00 PM | Sunday: 11:00 AM – 2:00 PM, 5:00 – 8:30 PM",4.7,565,PRICE_LEVEL_INEXPENSIVE,Google Places API,2026-04-21,32.763531799999996,-117.12206759999998,,,,,
Wormwood,"4677 30th St, San Diego, CA 92116, USA",(619) 915-6706,http://www.wormwoodsd.com/,Monday: 3:00 PM - 6:00 PM | Tuesday: 3:00 PM - 6:00 PM | Wednesday: 3:00 PM - 6:00 PM | Thursday: 3:00 PM - 6:00 PM | Friday: 4:00 PM - 7:00 PM | Saturday: Closed | Sunday: Closed,"Monday: Closed | Tuesday: Closed | Wednesday: 5:00 – 9:30 PM | Thursday: 5:00 – 9:30 PM | Friday: 5:00 – 10:00 PM | Saturday: 5:00 – 10:00 PM | Sunday: 10:00 AM – 2:00 PM, 5:00 – 9:30 PM",4.5,345,,Website (AI parsed),2026-04-21,32.7624737,-117.1299911,,,,,
Antique Row Cafe,"3002 Adams Ave, San Diego, CA 92116, USA",(619) 282-9750,https://antiquerowcafesd.com/,,Monday: 7:00 AM – 2:00 PM | Tuesday: 7:00 AM – 2:00 PM | Wednesday: 7:00 AM – 2:00 PM | Thursday: 7:00 AM – 2:00 PM | Friday: 7:00 AM – 2:00 PM | Saturday: 7:00 AM – 2:00 PM | Sunday: 7:00 AM – 2:00 PM,4.6,1094,PRICE_LEVEL_MODERATE,Google Places API,2026-04-21,32.7630074,-117.1300128,,,,,
Rusticucina,"3797 Park Blvd, San Diego, CA 92103, USA",(619) 310-5291,https://www.rusticucina.com/,Monday: 4:00 PM - 10:00 PM | Tuesday: 4:00 PM - 10:00 PM | Wednesday: 4:00 PM - 10:00 PM | Thursday: 4:00 PM - 10:00 PM | Friday: 4:00 PM - 10:00 PM | Saturday: 4:00 PM - 10:00 PM | Sunday: 4:00 PM - 10:00 PM,Monday: 4:00 – 10:00 PM | Tuesday: 4:00 – 10:00 PM | Wednesday: 4:00 – 10:00 PM | Thursday: 4:00 – 10:00 PM | Friday: 4:00 – 10:00 PM | Saturday: 4:00 – 10:00 PM | Sunday: 4:00 – 10:00 PM,4.6,770,PRICE_LEVEL_MODERATE,Website (AI parsed),2026-04-21,32.7475077,-117.14607849999999,,,,,
Vallarta Taco Shop,"4125 El Cajon Blvd, San Diego, CA 92105, USA",(619) 804-9822,,,Monday: Closed | Tuesday: 12:00 PM – 2:00 AM | Wednesday: 12:00 PM – 2:00 AM | Thursday: 12:00 PM – 2:00 AM | Friday: 12:00 PM – 2:00 AM | Saturday: 12:00 PM – 2:00 AM | Sunday: 12:00 PM – 2:00 AM,4,221,PRICE_LEVEL_INEXPENSIVE,Google Places API,2026-04-21,32.754922,-117.10652749999998,,,,,
Popeyes Louisiana Kitchen,"2810 El Cajon Blvd, San Diego, CA 92104, USA",(619) 781-4354,https://www.popeyes.com/store-locator/store/restaurant_237543,Monday: 3:00 PM - 6:00 PM | Tuesday: 3:00 PM - 6:00 PM | Wednesday: 3:00 PM - 6:00 PM | Thursday: 3:00 PM - 6:00 PM | Friday: 4:00 PM - 7:00 PM | Saturday: Closed | Sunday: Closed,Monday: 10:00 AM – 11:00 PM | Tuesday: 10:00 AM – 11:00 PM | Wednesday: 10:00 AM – 11:00 PM | Thursday: 10:00 AM – 11:00 PM | Friday: 10:00 AM – 11:00 PM | Saturday: 10:00 AM – 11:00 PM | Sunday: 10:00 AM – 11:00 PM,4,778,PRICE_LEVEL_INEXPENSIVE,Website (AI parsed),2026-04-21,32.7558082,-117.13346709999999,,,,,
Kensington Cafe,"4141 Adams Ave, San Diego, CA 92116, USA",(619) 640-0494,http://www.kensingtoncafesd.com/,,Monday: 7:30 AM – 2:00 PM | Tuesday: 7:30 AM – 2:00 PM | Wednesday: 7:30 AM – 2:00 PM | Thursday: 7:30 AM – 2:00 PM | Friday: 7:30 AM – 2:00 PM | Saturday: 7:30 AM – 3:00 PM | Sunday: 7:30 AM – 3:00 PM,4.5,1284,PRICE_LEVEL_MODERATE,Google Places API,2026-04-21,32.763041699999995,-117.10611730000001,,,,,
Denny's Restaurant,"4365 University Ave, San Diego, CA 92105, USA",(619) 280-1121,https://locations.dennys.com/CA/SAN-DIEGO/247680?utm_source=G&utm_medium=organic&utm_campaign=DAC,,Monday: 5:00 AM – 12:00 AM | Tuesday: 5:00 AM – 12:00 AM | Wednesday: 5:00 AM – 12:00 AM | Thursday: 5:00 AM – 12:00 AM | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,4.4,2558,PRICE_LEVEL_INEXPENSIVE,Google Places API,2026-04-21,32.7493943,-117.10066439999999,,,,,
Siamo Napoli Restaurant,"3959 30th St STE 105, San Diego, CA 92104, USA",(619) 310-6981,http://siamonapolisd.com/,Monday: Closed | Tuesday: Closed | Wednesday: Closed | Thursday: Closed | Friday: Closed | Saturday: Closed | Sunday: Closed,Monday: 4:00 – 8:30 PM | Tuesday: 4:00 – 8:30 PM | Wednesday: 4:00 – 8:30 PM | Thursday: 4:00 – 8:30 PM | Friday: 4:00 – 9:30 PM | Saturday: 4:00 – 9:30 PM | Sunday: 4:00 – 8:30 PM,4.7,938,PRICE_LEVEL_MODERATE,Website (AI parsed),2026-04-21,32.7494113,-117.1299076,,,,,
Nozaru Ramen Bar,"3375 Adams Ave, San Diego, CA 92116, USA",(619) 564-7183,http://nozaruramen.com/,Monday: 4:00 – 6:00 PM | Tuesday: 4:00 – 6:00 PM | Wednesday: 4:00 – 6:00 PM | Thursday: 4:00 – 6:00 PM | Friday: 4:00 – 6:00 PM | Saturday: 4:00 – 6:00 PM | Sunday: 4:00 – 6:00 PM,Monday: 4:00 – 9:00 PM | Tuesday: 4:00 – 9:00 PM | Wednesday: 4:00 – 9:00 PM | Thursday: 4:00 – 9:00 PM | Friday: 12:00 – 10:00 PM | Saturday: 12:00 – 10:00 PM | Sunday: 12:00 – 9:00 PM,4.5,373,PRICE_LEVEL_MODERATE,Google Places API (Happy Hours),2026-04-21,32.7631174,-117.12118999999998,,,,,
Trust,"3752 Park Blvd, San Diego, CA 92103, USA",(619) 795-6901,http://www.trustrestaurantsd.com/,Monday: 5:00 PM - 6:00 PM | Tuesday: 5:00 PM - 6:00 PM | Wednesday: 5:00 PM - 6:00 PM | Thursday: 5:00 PM - 6:00 PM | Friday: 5:00 PM - 6:00 PM | Saturday: 5:00 PM - 6:00 PM | Sunday: 5:00 PM - 6:00 PM,"Monday: 5:00 – 9:00 PM | Tuesday: Closed | Wednesday: 5:00 – 9:00 PM | Thursday: 5:00 – 9:00 PM | Friday: 5:00 – 10:00 PM | Saturday: 9:00 AM – 2:00 PM, 5:00 – 10:00 PM | Sunday: 9:00 AM – 2:00 PM, 5:00 – 9:00 PM",4.6,1402,PRICE_LEVEL_MODERATE,Website (AI parsed),2026-04-21,32.746454799999995,-117.14681069999999,,,,,
Bangkok Spices Thai Restaurant,"3627 30th St, San Diego, CA 92104, USA",(619) 281-1111,https://orderbangkokspicesthai.com/,,Monday: Closed | Tuesday: 11:00 AM – 12:00 AM | Wednesday: 11:00 AM – 12:00 AM | Thursday: 11:00 AM – 12:00 AM | Friday: 11:00 AM – 12:00 AM | Saturday: 11:00 AM – 12:00 AM | Sunday: Closed,4.5,388,PRICE_LEVEL_MODERATE,Google Places API,2026-04-21,32.7448228,-117.12982149999999,,,,,
Louisiana Purchase,"2305 University Ave, San Diego, CA 92104, USA",(619) 723-2880,https://www.louisianapurchasesd.com/,Monday: 3:00 – 5:00 PM | Tuesday: 3:00 – 5:00 PM | Wednesday: 3:00 – 5:00 PM | Thursday: 3:00 – 5:00 PM | Friday: 3:00 – 5:00 PM | Saturday: Closed | Sunday: Closed,Monday: 3:00 – 9:00 PM | Tuesday: 3:00 – 9:00 PM | Wednesday: 3:00 – 9:00 PM | Thursday: 3:00 – 9:00 PM | Friday: 3:00 – 10:00 PM | Saturday: 12:00 – 10:00 PM | Sunday: 12:00 – 8:00 PM,4.3,2035,PRICE_LEVEL_MODERATE,Google Places API (Happy Hours),2026-04-21,32.7482983,-117.13979509999999,,,,,
Pappalecco,"4202 Adams Ave, San Diego, CA 92116, USA",(619) 255-4770,https://pappalecco.com/,Monday: 2:00 – 6:00 PM | Tuesday: 2:00 – 6:00 PM | Wednesday: 2:00 – 6:00 PM | Thursday: 2:00 – 6:00 PM | Friday: 2:00 – 6:00 PM | Saturday: Closed | Sunday: Closed,Monday: 7:00 AM – 9:30 PM | Tuesday: 7:00 AM – 9:30 PM | Wednesday: 7:00 AM – 9:30 PM | Thursday: 7:00 AM – 9:30 PM | Friday: 7:00 AM – 10:00 PM | Saturday: 7:00 AM – 10:00 PM | Sunday: 7:00 AM – 9:30 PM,4.7,805,PRICE_LEVEL_MODERATE,Google Places API (Happy Hours),2026-04-21,32.7633478,-117.10462260000001,,,,,
Sayulitas Mexican Food,"4126 University Ave, San Diego, CA 92105, USA",(619) 230-5226,https://sayulitaseats.com/sayulitasmexicanfood?utm_source=google,,Monday: 7:00 AM – 11:00 PM | Tuesday: 7:00 AM – 11:00 PM | Wednesday: 7:00 AM – 11:00 PM | Thursday: 7:00 AM – 11:00 PM | Friday: 7:00 AM – 12:00 AM | Saturday: 7:00 AM – 12:00 AM | Sunday: 7:00 AM – 11:00 PM,4.4,129,PRICE_LEVEL_MODERATE,Google Places API,2026-04-21,32.7502612,-117.10619750000001,,,,,
Denny's Restaurant,"2445 El Cajon Blvd, San Diego, CA 92104, USA",(619) 298-7046,https://locations.dennys.com/CA/SAN-DIEGO/246265?utm_source=G&utm_medium=organic&utm_campaign=DAC,,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,4.5,4321,PRICE_LEVEL_INEXPENSIVE,Google Places API,2026-04-21,32.7550417,-117.13784649999998,,,,,
Rolberto's Taco Shop,"4090 El Cajon Blvd APT G, San Diego, CA 92105, USA",(619) 282-9859,,,Monday: 6:00 AM – 12:00 AM | Tuesday: 6:00 AM – 12:00 AM | Wednesday: 6:00 AM – 12:00 AM | Thursday: 6:00 AM – 12:00 AM | Friday: 6:00 AM – 12:00 AM | Saturday: 6:00 AM – 12:00 AM | Sunday: 6:00 AM – 12:00 AM,4.1,452,PRICE_LEVEL_INEXPENSIVE,Google Places API,2026-04-21,32.7556101,-117.1074245,,,,,
