restaurant_name,address,phone_number,website_url,happy_hour_times,regular_hours,rating,review_count,price_level,source,freshness_date,latitude,longitude
TapRoom Beer Company,"2000 El Cajon Blvd, San Diego, CA 92104, USA",+1 619-539-7738,http://www.taproombeerco.com/,Monday: 3pm-6pm | Tuesday: Closed | Wednesday: Closed | Thursday: Closed | Friday: 3pm-6pm | Saturday: Closed | Sunday: Closed,Monday: 11:00 AM – 11:00 PM | Tuesday: 11:00 AM – 11:00 PM | Wednesday: 11:00 AM – 11:00 PM | Thursday: 11:00 AM – 11:00 PM | Friday: 11:00 AM – 11:00 PM | Saturday: 10:00 AM – 11:00 PM | Sunday: 10:00 AM – 11:00 PM,4.6,712,PRICE_LEVEL_MODERATE,google_maps_api+website_ai,2026-04-19,32.7555168,-117.1435663
Sycamore Den,"3391 Adams Ave, San Diego, CA 92116, USA",+1 619-259-0045,http://www.sycamoreden.com/,Monday: 5-7pm | Tuesday: Closed | Wednesday: 5-7pm | Thursday: 5-7pm | Friday: 2-7pm | Saturday: 2-7pm | Sunday: 2-7pm,Monday: 5:00 PM – 2:00 AM | Tuesday: 5:00 PM – 2:00 AM | Wednesday: 5:00 PM – 2:00 AM | Thursday: 5:00 PM – 2:00 AM | Friday: 2:00 PM – 2:00 AM | Saturday: 2:00 PM – 2:00 AM | Sunday: 2:00 PM – 2:00 AM,4.4,390,PRICE_LEVEL_MODERATE,google_maps_api+website_ai,2026-04-19,32.76324170000001,-117.1208944
Bully's East Prime Bistro Sports Bar,"2401 Camino del Rio S, San Diego, CA 92108, USA",+1 619-291-2665,http://bullyseastsd.com/,,Monday: 11:00 AM – 9:00 PM | Tuesday: 11:00 AM – 9:00 PM | Wednesday: 11:00 AM – 9:00 PM | Thursday: 11:00 AM – 9:00 PM | Friday: 11:00 AM – 10:00 PM | Saturday: 9:00 AM – 10:00 PM | Sunday: 9:00 AM – 9:00 PM,4.3,1755,PRICE_LEVEL_MODERATE,google_maps_api_v1,2026-04-19,32.7676145,-117.1384803
The Ould Sod,"3373 Adams Ave, San Diego, CA 92116, USA",+1 619-284-6594,http://www.theouldsod.com/,Monday: 3:00 – 6:00 PM | Tuesday: 3:00 – 6:00 PM | Wednesday: 3:00 – 6:00 PM | Thursday: 3:00 – 6:00 PM | Friday: 3:00 – 6:00 PM | Saturday: 10:00 AM – 4:00 PM | Sunday: 10:00 AM – 4:00 PM,Monday: 2:00 PM – 2:00 AM | Tuesday: 2:00 PM – 2:00 AM | Wednesday: 2:00 PM – 2:00 AM | Thursday: 2:00 PM – 2:00 AM | Friday: 2:00 PM – 2:00 AM | Saturday: 10:00 AM – 2:00 AM | Sunday: 10:00 AM – 2:00 AM,4.6,666,PRICE_LEVEL_INEXPENSIVE,google_maps_api_v1,2026-04-19,32.763031,-117.121231
McGregor's Bar and Grill,"10475 San Diego Mission Rd, San Diego, CA 92108, USA",+1 619-282-9797,http://mcgregorssandiego.com/,Monday: 11:00 AM – 12:00 AM | Tuesday: 11:00 AM – 12:00 AM | Wednesday: 11:00 AM – 12:00 AM | Thursday: 11:00 AM – 12:00 AM | Friday: 11:00 AM – 2:00 AM | Saturday: 9:00 AM – 2:00 AM | Sunday: 9:00 AM – 12:00 AM,Monday: 11:00 AM – 12:00 AM | Tuesday: 11:00 AM – 12:00 AM | Wednesday: 11:00 AM – 12:00 AM | Thursday: 11:00 AM – 12:00 AM | Friday: 11:00 AM – 2:00 AM | Saturday: 11:00 AM – 2:00 AM | Sunday: 11:00 AM – 12:00 AM,4.4,1396,PRICE_LEVEL_MODERATE,google_maps_api_v1,2026-04-19,32.7844116,-117.1110242
Rosie O'Grady's,"3402 Adams Ave, San Diego, CA 92116, USA",+1 619-284-7666,http://rosieogradyssd.com/,,Monday: 11:00 AM – 2:00 AM | Tuesday: 11:00 AM – 2:00 AM | Wednesday: 11:00 AM – 2:00 AM | Thursday: 11:00 AM – 2:00 AM | Friday: 11:00 AM – 2:00 AM | Saturday: 11:00 AM – 2:00 AM | Sunday: 10:00 AM – 2:00 AM,4.4,460,PRICE_LEVEL_INEXPENSIVE,google_maps_api_v1,2026-04-19,32.7635404,-117.1205389
Hanna's Gourmet,"2864 Adams Ave, San Diego, CA 92116, USA",+1 619-280-5600,http://www.hannasgourmetsd.com/,,Monday: Closed | Tuesday: Closed | Wednesday: Closed | Thursday: Closed | Friday: Closed | Saturday: Closed | Sunday: 8:00 AM – 3:00 PM,4.8,395,PRICE_LEVEL_MODERATE,google_maps_api_v1,2026-04-19,32.7631478,-117.1321423
The Duke Cocktails & Grub,"6519 Mission Gorge Rd, San Diego, CA 92120, USA",+1 619-283-0831,https://www.thedukesd.com/,,Monday: 11:00 AM – 10:00 PM | Tuesday: 11:00 AM – 10:00 PM | Wednesday: 11:00 AM – 10:00 PM | Thursday: 11:00 AM – 10:00 PM | Friday: 11:00 AM – 11:00 PM | Saturday: 11:00 AM – 11:00 PM | Sunday: 11:00 AM – 9:00 PM,4.6,50,,google_maps_api_v1,2026-04-19,32.7916463,-117.096577
West Coast Tavern,"2895 University Ave, San Diego, CA 92104, USA",+1 619-543-0113,https://www.westcoasttavern.com/,,Monday: Closed | Tuesday: Closed | Wednesday: Closed | Thursday: 5:00 – 11:00 PM | Friday: 5:00 – 11:00 PM | Saturday: 10:00 AM – 11:00 PM | Sunday: 10:00 AM – 9:00 PM,4.2,527,PRICE_LEVEL_MODERATE,google_maps_api_v1,2026-04-19,32.7482495,-117.1313998
Tommy Bahama Marlin Bar,"7007 Friars Rd #305, San Diego, CA 92108, USA",+1 619-541-6296,https://www.tommybahama.com/restaurants-and-marlin-bars/locations/san-diego,Monday: 3:00 – 5:00 PM | Tuesday: 3:00 – 5:00 PM | Wednesday: 3:00 – 5:00 PM | Thursday: 3:00 – 5:00 PM | Friday: 3:00 – 5:00 PM | Saturday: 3:00 – 5:00 PM | Sunday: 3:00 – 5:00 PM,Monday: 11:00 AM – 9:00 PM | Tuesday: 11:00 AM – 9:00 PM | Wednesday: 11:00 AM – 9:00 PM | Thursday: 11:00 AM – 9:00 PM | Friday: 11:00 AM – 9:00 PM | Saturday: 11:00 AM – 9:00 PM | Sunday: 11:00 AM – 8:00 PM,4.8,901,PRICE_LEVEL_EXPENSIVE,google_maps_api_v1,2026-04-19,32.7678019,-117.1670366
Park & Rec,"4612 Park Blvd, San Diego, CA 92116, USA",+1 619-795-9700,http://parkandrecsd.com/,Monday: 4:00 – 6:00 PM | Tuesday: 4:00 – 6:00 PM | Wednesday: 4:00 – 6:00 PM | Thursday: 4:00 – 6:00 PM | Friday: 4:00 – 6:00 PM | Saturday: Closed | Sunday: Closed,Monday: 4:00 – 10:00 PM | Tuesday: 4:00 – 10:00 PM | Wednesday: 4:00 – 11:00 PM | Thursday: 4:00 – 11:00 PM | Friday: 4:00 PM – 2:00 AM | Saturday: 3:00 PM – 2:00 AM | Sunday: 3:00 – 10:00 PM,4.5,815,PRICE_LEVEL_MODERATE,google_maps_api_v1,2026-04-19,32.761383,-117.1466219
Good News Bar,"3821 Park Blvd, San Diego, CA 92103, USA",,http://www.goodnewssd.com/,"<div class=""sqs-html-content"" data-sqsp-text-block-content><h4 style=""text-align:center;white-space:pre-wrap;"" data-rte-preserve-empty=""true""></h4><h4 style=""text-align:center;white-space:pre-wrap;""> ","Monday: Closed | Tuesday: 8:00 AM – 2:00 PM, 4:00 – 10:00 PM | Wednesday: 8:00 AM – 2:00 PM, 4:00 – 10:00 PM | Thursday: 8:00 AM – 2:00 PM, 4:00 – 10:00 PM | Friday: 8:00 AM – 2:00 PM, 4:00 – 11:00 PM | Saturday: 8:00 AM – 2:00 PM, 4:00 – 11:00 PM | Sunday: 8:00 AM – 2:00 PM, 4:00 – 10:00 PM",4.8,96,,google_maps_api+website_scraped,2026-04-19,32.7478658,-117.1460757
Part Time Lover,"3829 30th St, San Diego, CA 92104, USA",+1 619-932-4434,http://parttimeloverhifi.com/,,Monday: 4:00 PM – 2:00 AM | Tuesday: 4:00 PM – 2:00 AM | Wednesday: 4:00 PM – 2:00 AM | Thursday: 4:00 PM – 2:00 AM | Friday: 4:00 PM – 2:00 AM | Saturday: 4:00 PM – 2:00 AM | Sunday: 4:00 PM – 2:00 AM,4.5,503,PRICE_LEVEL_MODERATE,google_maps_api_v1,2026-04-19,32.7479768,-117.1299444
Wormwood,"4677 30th St, San Diego, CA 92116, USA",+1 619-915-6706,http://www.wormwoodsd.com/,,"Monday: Closed | Tuesday: Closed | Wednesday: 5:00 – 9:30 PM | Thursday: 5:00 – 9:30 PM | Friday: 5:00 – 10:00 PM | Saturday: 5:00 – 10:00 PM | Sunday: 10:00 AM – 2:00 PM, 5:00 – 9:30 PM",4.5,345,,google_maps_api_v1,2026-04-19,32.7624737,-117.1299911
Crafted Coupe,"3933 30th St Suite 2, San Diego, CA 92104, USA",+1 619-572-4001,,,Monday: 5:00 PM – 2:00 AM | Tuesday: Closed | Wednesday: 5:00 PM – 2:00 AM | Thursday: 5:00 PM – 2:00 AM | Friday: 5:00 PM – 2:00 AM | Saturday: 5:00 PM – 2:00 AM | Sunday: 5:00 PM – 2:00 AM,4.6,79,,google_maps_api_v1,2026-04-19,32.7492063,-117.1297383
The Seventh House Speakeasy,"2835 University Ave, San Diego, CA 92104, USA",+1 619-310-5614,https://www.seventhhousesandiego.com/,,Monday: Closed | Tuesday: Closed | Wednesday: 6:00 PM – 12:00 AM | Thursday: 6:00 PM – 12:00 AM | Friday: 6:00 PM – 12:00 AM | Saturday: 6:00 PM – 12:00 AM | Sunday: Closed,4.1,234,,google_maps_api_v1,2026-04-19,32.7481009,-117.1326926
Botanica Art & Cocktail Bar,"3139 University Ave, San Diego, CA 92104, USA",+1 619-310-6370,http://botanicabarsd.com/,Monday: Closed | Tuesday: 5:00 – 9:30 PM | Wednesday: 5:00 – 7:00 PM | Thursday: 5:00 – 7:00 PM | Friday: Closed | Saturday: Closed | Sunday: Closed,Monday: Closed | Tuesday: 5:00 – 10:00 PM | Wednesday: 5:00 – 10:00 PM | Thursday: 5:00 – 10:00 PM | Friday: 5:00 PM – 12:00 AM | Saturday: 5:00 PM – 12:00 AM | Sunday: 5:00 – 10:00 PM,4.4,167,,google_maps_api_v1,2026-04-19,,
619 Spirits North Park,"3015 Lincoln Ave, San Diego, CA 92104, USA",+1 619-269-2757,https://www.619spirits.com/,Monday: 3:00 – 6:00 PM | Tuesday: 3:00 – 6:00 PM | Wednesday: 3:00 – 6:00 PM | Thursday: 3:00 – 6:00 PM | Friday: 3:00 – 6:00 PM | Saturday: 3:00 – 6:00 PM | Sunday: 3:00 – 6:00 PM,Monday: 12:00 – 10:00 PM | Tuesday: 12:00 – 10:00 PM | Wednesday: 12:00 – 10:00 PM | Thursday: 12:00 – 10:00 PM | Friday: 12:00 PM – 1:00 AM | Saturday: 11:00 AM – 1:00 AM | Sunday: 11:00 AM – 9:00 PM,4.4,295,PRICE_LEVEL_MODERATE,google_maps_api_v1,2026-04-19,,
insideOUT,"1642 University Ave, San Diego, CA 92103, USA",+1 619-888-8623,http://insideoutsd.com/,</div><br/><div>happy hour</div><div>tuesday - friday 4pm - 6pm</div><br/><div>dinner</div><div>monday: closed</div><br/><div>tuesday - thursday:,Monday: Closed | Tuesday: 4:00 – 10:30 PM | Wednesday: 4:00 – 10:30 PM | Thursday: 4:00 – 10:30 PM | Friday: 4:00 PM – 12:00 AM | Saturday: 10:00 AM – 12:00 AM | Sunday: 10:00 AM – 5:00 PM,4.5,1670,PRICE_LEVEL_MODERATE,google_maps_api+website_scraped,2026-04-19,,
AWOL,"1475 University Ave #1469, San Diego, CA 92103, USA",+1 619-551-1418,,Monday: Closed | Tuesday: 4:00 – 9:00 PM | Wednesday: 4:00 – 7:00 PM | Thursday: 4:00 – 7:00 PM | Friday: 8:00 – 10:00 PM | Saturday: Closed | Sunday: Closed,Monday: Closed | Tuesday: Closed | Wednesday: Closed | Thursday: 4:00 – 11:00 PM | Friday: 4:00 PM – 1:00 AM | Saturday: 10:00 AM – 1:00 AM | Sunday: 10:00 AM – 8:00 PM,4.9,60,,google_maps_api_v1,2026-04-19,32.7481782,-117.149608
The Glampisphere @ The Air Conditioned Lounge,"4673 30th St Patio G, San Diego, CA 92116, USA",+1 619-501-9831,http://www.glampisphere.space/,,Monday: 12:00 AM – 10:00 PM | Tuesday: 10:00 AM – 10:00 PM | Wednesday: 10:00 AM – 10:00 PM | Thursday: 10:00 AM – 10:00 PM | Friday: 10:00 AM – 10:00 PM | Saturday: 10:00 AM – 10:00 PM | Sunday: 10:00 AM – 12:00 AM,4.9,14,,google_maps_api_v1,2026-04-19,32.7623663,-117.1300141
Hopnonymous Brewing - Normal Heights,"3514 Adams Ave, San Diego, CA 92116, USA",+1 619-847-4628,https://hopnonymousbrewing.com/locations/adams-ave/,"com/events/happy-hour-1pm-4pm/"" target=""_self"" rel=""noopener"">monday happy hour</a></h4>",Monday: 3:00 – 9:00 PM | Tuesday: 1:00 – 9:00 PM | Wednesday: 1:00 – 9:00 PM | Thursday: 1:00 – 9:00 PM | Friday: 12:00 – 10:00 PM | Saturday: 12:00 – 10:00 PM | Sunday: 12:00 – 7:00 PM,4.8,34,,google_maps_api+website_scraped,2026-04-19,32.7635164,-117.1169386
Pure Project North Park,"2867 El Cajon Blvd, San Diego, CA 92104, USA",+1 858-727-3450,https://www.purebrewing.org/location/north-park/,,Monday: 3:00 – 9:00 PM | Tuesday: 3:00 – 9:00 PM | Wednesday: 1:00 – 9:00 PM | Thursday: 1:00 – 10:00 PM | Friday: 1:00 – 10:00 PM | Saturday: 11:00 AM – 10:00 PM | Sunday: 11:00 AM – 9:00 PM,4.9,354,,google_maps_api_v1,2026-04-19,32.7549224,-117.1321746
Fall Brewing Company,"4542 30th St, San Diego, CA 92116, USA",+1 619-501-0903,https://www.fallbrewingcompany.com/,,Monday: 11:00 AM – 10:00 PM | Tuesday: 11:00 AM – 10:00 PM | Wednesday: 11:00 AM – 10:00 PM | Thursday: 11:00 AM – 10:00 PM | Friday: 11:00 AM – 12:00 AM | Saturday: 11:00 AM – 12:00 AM | Sunday: 11:00 AM – 10:00 PM,4.6,510,,google_maps_api_v1,2026-04-19,32.760023,-117.1304411
Fall Brewing Company South Park Taproom,"3010 Juniper St, San Diego, CA 92104, USA",+1 619-310-5101,http://www.fallbrewingcompany.com/,,Monday: 11:00 AM – 10:00 PM | Tuesday: 11:00 AM – 10:00 PM | Wednesday: 11:00 AM – 10:00 PM | Thursday: 11:00 AM – 10:00 PM | Friday: 11:00 AM – 12:00 AM | Saturday: 11:00 AM – 12:00 AM | Sunday: 11:00 AM – 10:00 PM,4.8,111,,google_maps_api_v1,2026-04-19,32.7298194,-117.1293666
Gravity Heights Mission Valley,"525 Camino De La Reina, San Diego, CA 92108, USA",+1 619-539-7833,https://www.gravityheights.com/,Monday: Closed | Tuesday: Closed | Wednesday: Closed | Thursday: Closed | Friday: 3:00 PM - 6:00 PM | Saturday: 3:00 PM - 6:00 PM | Sunday: 3:00 PM - 6:00 PM,Monday: 11:30 AM – 8:00 PM | Tuesday: 11:30 AM – 8:00 PM | Wednesday: 11:30 AM – 8:00 PM | Thursday: 11:30 AM – 8:00 PM | Friday: 11:30 AM – 8:30 PM | Saturday: 10:00 AM – 8:30 PM | Sunday: 10:00 AM – 8:00 PM,4.6,153,PRICE_LEVEL_MODERATE,google_maps_api+website_ai,2026-04-19,32.7662466,-117.1601168
North Park Beer Company - Bankers Hill,"3095 Fifth Ave, San Diego, CA 92103, USA",+1 619-230-5179,http://www.northparkbeerco.com/,,Monday: 11:00 AM – 10:00 PM | Tuesday: 11:00 AM – 10:00 PM | Wednesday: 11:00 AM – 10:00 PM | Thursday: 11:00 AM – 10:00 PM | Friday: 11:00 AM – 10:00 PM | Saturday: 11:00 AM – 10:00 PM | Sunday: 11:00 AM – 10:00 PM,4.6,319,PRICE_LEVEL_MODERATE,google_maps_api_v1,2026-04-19,32.7375582,-117.1602168
San Diego Brewing Company,"10450 Friars Rd, San Diego, CA 92120, USA",+1 619-284-2739,http://sandiegobrewing.com/,Monday: 11:00 AM – 10:00 PM | Tuesday: 3:00 – 5:00 PM | Wednesday: 3:00 – 5:00 PM | Thursday: 3:00 – 5:00 PM | Friday: 3:00 – 5:00 PM | Saturday: Closed | Sunday: Closed,Monday: 11:00 AM – 10:00 PM | Tuesday: 11:00 AM – 10:00 PM | Wednesday: 11:00 AM – 10:00 PM | Thursday: 11:00 AM – 10:00 PM | Friday: 11:00 AM – 11:00 PM | Saturday: 11:00 AM – 11:00 PM | Sunday: 11:00 AM – 10:00 PM,4.3,651,PRICE_LEVEL_MODERATE,google_maps_api_v1,2026-04-19,32.7922743,-117.098967
Mission Brewing - Kensington,"4067 Adams Ave, San Diego, CA 92116, USA",+1 619-546-9247,https://missionbrewery.com/kensington/,,Monday: 12:00 – 9:30 PM | Tuesday: 12:00 – 9:30 PM | Wednesday: 12:00 – 9:30 PM | Thursday: 12:00 – 9:30 PM | Friday: 12:00 – 10:30 PM | Saturday: 12:00 – 10:30 PM | Sunday: 12:00 – 9:30 PM,4.6,40,,google_maps_api_v1,2026-04-19,32.763021,-117.1079165
Barley & Sword Brewing Company,"3052 El Cajon Blvd Ste 102, San Diego, CA 92104, USA",+1 619-633-7832,http://www.barleyandsword.com/,,Monday: 2:00 – 8:00 PM | Tuesday: 2:00 – 8:00 PM | Wednesday: 2:00 – 9:00 PM | Thursday: 2:00 – 9:00 PM | Friday: 12:00 – 10:00 PM | Saturday: 12:00 – 10:00 PM | Sunday: 12:00 – 8:00 PM,5,122,,google_maps_api_v1,2026-04-19,32.7557666,-117.1287572
Poor House Brewing Company,"4494 30th St, San Diego, CA 92116, USA",+1 858-769-9070,http://www.poorhousebrew.com/,,Monday: 3:30 – 11:30 PM | Tuesday: 3:30 – 11:30 PM | Wednesday: 2:00 – 11:30 PM | Thursday: 12:00 PM – 12:00 AM | Friday: 12:00 PM – 2:00 AM | Saturday: 12:00 PM – 2:00 AM | Sunday: 12:00 PM – 12:00 AM,4.5,179,,google_maps_api_v1,2026-04-19,32.759017,-117.130411
Novo Brazil Brewing Mission Valley,"1640 Camino Del Rio N suite 341, San Diego, CA 92108, USA",+1 619-310-5387,https://www.novobrew.com/,Monday: 12:00 – 5:30 PM | Tuesday: 12:00 – 5:30 PM | Wednesday: 12:00 – 5:30 PM | Thursday: 12:00 – 5:30 PM | Friday: 12:00 – 5:30 PM | Saturday: Closed | Sunday: Closed,Monday: 12:00 – 10:00 PM | Tuesday: 12:00 – 10:00 PM | Wednesday: 12:00 – 10:00 PM | Thursday: 12:00 – 10:00 PM | Friday: 11:30 AM – 11:00 PM | Saturday: 11:30 AM – 11:00 PM | Sunday: 10:00 AM – 8:00 PM,4.3,288,PRICE_LEVEL_MODERATE,google_maps_api_v1,2026-04-19,32.76841,-117.146827
Seek Beer Co.,"3052 El Cajon Blvd suite C, San Diego, CA 92104, USA",,http://seekbeerco.com/,,Monday: 2:00 – 9:00 PM | Tuesday: 2:00 – 8:00 PM | Wednesday: 2:00 – 9:00 PM | Thursday: 2:00 – 8:00 PM | Friday: 12:00 – 10:00 PM | Saturday: 12:00 – 10:00 PM | Sunday: 12:00 – 8:00 PM,4.9,114,,google_maps_api_v1,2026-04-19,32.7558729,-117.1287797
