restaurant_name,address,phone_number,website_url,happy_hour_times,regular_hours,rating,review_count,price_level,source,freshness_date,latitude,longitude,place_id,google_maps_url,generative_summary,cheapest_drink,cheapest_drink_price,cheapest_food,cheapest_food_price,menu_summary,menu_url
Blue Wave Bar & Grill,"2051 Shelter Island Dr, San Diego, CA 92106, USA",(619) 223-2572,https://www.islandpalms.com/dining,Monday: 3:00 – 6:00 PM | Tuesday: 3:00 – 6:00 PM | Wednesday: 3:00 – 6:00 PM | Thursday: 3:00 – 6:00 PM | Friday: Closed | Saturday: Closed | Sunday: 3:00 – 6:00 PM,Monday: 7:00 AM – 8:30 PM | Tuesday: 7:00 AM – 8:30 PM | Wednesday: 7:00 AM – 8:30 PM | Thursday: 7:00 AM – 8:30 PM | Friday: 7:00 AM – 9:30 PM | Saturday: 7:00 AM – 9:30 PM | Sunday: 7:00 AM – 8:30 PM,4.3,548,PRICE_LEVEL_MODERATE,Google Places API (Happy Hours),2026-05-05,32.713567999999995,-117.2273582,ChIJ3TlWjJur3oARckq8K8jA_HQ,https://maps.google.com/?cid=8429824568490478194&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,,,,,
Vessel Restaurant,"1551 Shelter Island Dr, San Diego, CA 92106, USA",(619) 819-8195,https://www.resortkonakai.com/shelter-island-restaurant/?utm_source=gmb-restaurant&utm_medium=organic&utm_campaign=gmb,,"Monday: 7:00 – 11:00 AM | Tuesday: 7:00 – 11:00 AM, 5:00 – 9:00 PM | Wednesday: 7:00 – 11:00 AM, 5:00 – 9:00 PM | Thursday: 7:00 – 11:00 AM, 5:00 – 9:00 PM | Friday: 7:00 – 11:00 AM, 5:00 – 9:00 PM | Saturday: 7:00 AM – 2:00 PM, 5:00 – 9:00 PM | Sunday: 7:00 AM – 2:00 PM",4.3,658,PRICE_LEVEL_EXPENSIVE,Google Places API,2026-05-05,32.7095355,-117.2321958,ChIJh9BCkZqr3oARNPMnR_EpsGg,https://maps.google.com/?cid=7543575492103238452&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,,,,,
Bay Club Bar & Grill,"The Bay Club Hotel and Marina, 2131 Shelter Island Dr, San Diego, CA 92106, USA",(619) 224-8888,https://www.bayclubhotel.com/bayclubbarandgrill,Monday: 2:00 – 6:00 PM | Tuesday: 2:00 – 6:00 PM | Wednesday: 2:00 – 6:00 PM | Thursday: 2:00 – 6:00 PM | Friday: 2:00 – 6:00 PM | Saturday: 2:00 – 6:00 PM | Sunday: 2:00 – 6:00 PM,Monday: 7:00 AM – 9:00 PM | Tuesday: 7:00 AM – 9:00 PM | Wednesday: 7:00 AM – 9:00 PM | Thursday: 7:00 AM – 9:00 PM | Friday: 7:00 AM – 9:00 PM | Saturday: 7:00 AM – 9:00 PM | Sunday: 7:00 AM – 9:00 PM,4.3,163,PRICE_LEVEL_MODERATE,Google Places API (Happy Hours),2026-05-05,32.7157098,-117.22461299999998,ChIJlc1XmZ6r3oARZLe-0DYJMPA,https://maps.google.com/?cid=17307343499019859812&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,,,,,
Humphreys SoCal Dining & Music,"2241 Shelter Island Dr, San Diego, CA 92106, USA",(619) 224-3577,http://www.humphreysrestaurant.com/,,"Monday: 7:00 – 10:00 AM | Tuesday: 7:00 – 10:00 AM | Wednesday: 7:00 – 10:00 AM, 5:30 – 9:00 PM | Thursday: 7:00 – 10:00 AM, 5:30 – 9:00 PM | Friday: 7:00 – 10:00 AM, 5:30 – 9:00 PM | Saturday: 7:00 – 11:00 AM, 5:30 – 9:00 PM | Sunday: 7:00 – 11:00 AM, 5:30 – 9:00 PM",4.4,860,PRICE_LEVEL_MODERATE,Google Places API,2026-05-05,32.716265799999995,-117.2242818,ChIJObGtZp6r3oARlHUOmyttwkE,https://maps.google.com/?cid=4738469791999620500&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,,,,,
Scavengers Beer & Adventure Tours,"2915 Lawrence St APT 2, San Diego, CA 92106, USA",(760) 208-3739,http://www.brewerytoursandiego.com/,,"Monday: Closed | Tuesday: 9:30 AM – 5:30 PM | Wednesday: 9:30 AM – 5:30 PM | Thursday: 9:30 AM – 5:30 PM | Friday: 9:30 AM – 5:30 PM | Saturday: 9:30 AM – 6:00 PM | Sunday: 11:00 AM – 2:00 PM, 2:30 – 5:30 PM",4.7,34,,Google Places API,2026-05-05,32.7091736,-117.2378244,ChIJrWkuTxhy3IARUulJ5n4DRIg,https://maps.google.com/?cid=9818976931138890066&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,,,,,
The Caf,"Nicholson Commons, 3900 Lomaland Dr, San Diego, CA 92106, USA",,,,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,3.7,21,,Google Places API,2026-05-05,32.7173367,-117.25041440000001,ChIJ91m3LMKr3oARCgIt5Cxf-6U,https://maps.google.com/?cid=11960257881823838730&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,,,,,
Humphreys Backstage Live,"2241 Shelter Island Dr, San Diego, CA 92106, USA",(619) 224-3577,http://www.humphreysbackstagelive.com/,,Monday: 4:00 – 10:00 PM | Tuesday: 4:00 – 10:00 PM | Wednesday: 4:00 – 10:00 PM | Thursday: 4:00 – 10:00 PM | Friday: 4:00 PM – 12:00 AM | Saturday: 4:00 PM – 12:00 AM | Sunday: 4:00 – 10:00 PM,4.5,703,,Google Places API,2026-05-05,32.7163,-117.22429999999999,ChIJObGtZp6r3oARGUSXa9Ym7uM,https://maps.google.com/?cid=16424107593436709913&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,,,,,
"Fathom Bistro, Bait, and Tackle","1776 Shelter Island Dr, San Diego, CA 92106, USA",(619) 222-5835,https://fathombistro.com/,,Monday: Closed | Tuesday: 1:00 – 8:00 PM | Wednesday: 1:00 – 8:00 PM | Thursday: 1:00 – 8:00 PM | Friday: 1:00 – 8:00 PM | Saturday: 10:00 AM – 8:00 PM | Sunday: 10:00 AM – 8:00 PM,4.6,673,PRICE_LEVEL_INEXPENSIVE,Google Places API,2026-05-05,32.7115321,-117.22817989999999,ChIJwd_1AZur3oARqfOVUMey_tA,https://maps.google.com/?cid=15059670773093757865&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,,,,,
Shoreline Park,"2200 Shelter Island Dr, San Diego, CA 92106, USA",(619) 525-8213,https://www.portofsandiego.org/experiences/where-go/explore-shelter-island/shelter-island-shoreline-park,,Monday: 6:00 AM – 10:30 PM | Tuesday: 6:00 AM – 10:30 PM | Wednesday: 6:00 AM – 10:30 PM | Thursday: 6:00 AM – 10:30 PM | Friday: 6:00 AM – 10:30 PM | Saturday: 6:00 AM – 10:30 PM | Sunday: 6:00 AM – 10:30 PM,4.7,2374,,Google Places API,2026-05-05,32.7174717,-117.22251179999999,ChIJiaRu8pur3oARhd-foODJPMs,https://maps.google.com/?cid=14644802054906699653&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,,,,,
I Bar,"Quentin Roosevelt Blvd, Coronado, CA 92118, USA",(619) 545-0120,https://coronado.navylifesw.com/programs/32ba1adc-8f33-4532-af89-b3eec404d300,,Monday: 3:00 – 9:00 PM | Tuesday: 3:00 – 9:00 PM | Wednesday: 3:00 – 9:00 PM | Thursday: 3:00 – 9:00 PM | Friday: 12:00 – 10:00 PM | Saturday: Closed | Sunday: Closed,4.7,189,PRICE_LEVEL_INEXPENSIVE,Google Places API,2026-05-05,32.6953897,-117.2002163,ChIJYWD21Jms3oARj_FzdNlbmBI,https://maps.google.com/?cid=1339921878662508943&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,,,,,
"Public Art ""Pacific Portal""","2301 Shelter Island Dr, San Diego, CA 92106, USA",,,,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,4.5,11,,Google Places API,2026-05-05,32.7168184,-117.2223342,ChIJN0xSktir3oAREjN2hjD1y7k,https://maps.google.com/?cid=13388063906052059922&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,,,,,
Shelter Island Pier,"1776 Shelter Island Dr, San Diego, CA 92106, USA",(619) 686-6200,http://www.portofsandiego.org/,,Monday: 6:00 AM – 10:00 PM | Tuesday: 6:00 AM – 10:00 PM | Wednesday: 6:00 AM – 10:00 PM | Thursday: 6:00 AM – 10:00 PM | Friday: 6:00 AM – 10:00 PM | Saturday: 6:00 AM – 10:00 PM | Sunday: 6:00 AM – 10:00 PM,4.6,628,,Google Places API,2026-05-05,32.711717199999995,-117.2283801,ChIJL8D6f56r3oARBtSpy998Re0,https://maps.google.com/?cid=17097208861018412038&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,,,,,
Humphrey's Concerts by the Bay,"2241 Shelter Island Dr, San Diego, CA 92106, USA",(800) 745-3000,https://www.humphreysconcerts.com/,,"Monday: Closed | Tuesday: Closed | Wednesday: 11:30 AM – 3:00 PM, 3:30 – 6:30 PM | Thursday: Closed | Friday: 11:30 AM – 3:00 PM, 3:30 – 6:30 PM | Saturday: 11:30 AM – 3:00 PM, 3:30 – 6:30 PM | Sunday: Closed",4.6,1300,,Google Places API,2026-05-05,32.7164469,-117.2242356,ChIJmWjWfJ6r3oARUAn7iOBXm0Q,https://maps.google.com/?cid=4943641637851695440&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,,,,,
Humphreys Half Moon Inn,"2303 Shelter Island Dr, San Diego, CA 92106, USA",(619) 224-3411,https://www.halfmooninn.com/,,,4.5,3095,,Google Places API,2026-05-05,32.7178101,-117.2237174,ChIJc87CG5-r3oARqr6hK0Za--0,https://maps.google.com/?cid=17148399263569526442&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,,,,,
Red Velvet Burlesque Show - San Diego Burlesque,"4412 Pescadero Ave, San Diego, CA 92107, USA",(844) 283-5838,https://www.redvelvetburlesqueshow.com/burlesque-show-san-diego-ca.html,,Monday: 9:00 AM – 11:00 PM | Tuesday: 9:00 AM – 11:00 PM | Wednesday: 9:00 AM – 11:00 PM | Thursday: 9:00 AM – 11:00 PM | Friday: 9:00 AM – 11:00 PM | Saturday: 9:00 AM – 11:00 PM | Sunday: 9:00 AM – 11:00 PM,3.8,4,,Google Places API,2026-05-05,32.7341309,-117.24655309999999,ChIJH0cJVv2r3oAR07nZ7djxUcE,https://maps.google.com/?cid=13930181036439353811&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,,,,,
The High Dive,"1801 Morena Blvd, San Diego, CA 92110, USA",(619) 275-0460,http://www.highdivesd.com/,,Monday: 9:00 AM – 11:00 PM | Tuesday: Closed | Wednesday: 9:00 AM – 12:00 AM | Thursday: 9:00 AM – 12:00 AM | Friday: 9:00 AM – 1:00 AM | Saturday: 9:00 AM – 1:00 AM | Sunday: 9:00 AM – 12:00 AM,4.6,1244,PRICE_LEVEL_MODERATE,Google Places API,2026-05-05,32.779174399999995,-117.20731350000001,ChIJwcKw3Zqq3oARoGpLw0tH198,https://maps.google.com/?cid=16129438981175339680&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,,,,,
Offshore Tavern & Grill,"2253 Morena Blvd, San Diego, CA 92110, USA",(619) 276-2253,http://www.offshoretavern.com/,Monday: 3:00 – 6:00 PM | Tuesday: 3:00 – 6:00 PM | Wednesday: 3:00 – 6:00 PM | Thursday: 3:00 – 6:00 PM | Friday: 3:00 – 6:00 PM | Saturday: Closed | Sunday: Closed,Monday: 11:00 AM – 11:00 PM | Tuesday: 11:00 AM – 11:30 PM | Wednesday: 11:00 AM – 11:30 PM | Thursday: 11:00 AM – 11:30 PM | Friday: 11:00 AM – 11:30 PM | Saturday: 7:00 AM – 11:30 PM | Sunday: 11:00 AM – 11:00 PM,4.5,875,PRICE_LEVEL_MODERATE,Google Places API (Happy Hours),2026-05-05,32.785801,-117.20614699999999,ChIJeftZD52q3oARwaDNYoWH5rc,https://maps.google.com/?cid=13251427960542306497&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,,,,,
Silver Spigot Cocktail Lounge,"2221 Morena Blvd, San Diego, CA 92110, USA",(619) 276-1030,http://silverspigot.com/,,Monday: 10:00 AM – 2:00 AM | Tuesday: 10:00 AM – 2:00 AM | Wednesday: 10:00 AM – 2:00 AM | Thursday: 10:00 AM – 2:00 AM | Friday: 10:00 AM – 2:00 AM | Saturday: 10:00 AM – 2:00 AM | Sunday: 10:00 AM – 2:00 AM,4.3,203,PRICE_LEVEL_INEXPENSIVE,Google Places API,2026-05-05,32.7852809,-117.20620310000001,ChIJ0_crAp2q3oARrdcjjvTGiKE,https://maps.google.com/?cid=11639771990598080429&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,,,,,
Harland Brewing Co. - Bay Park,"4112 Napier St, San Diego, CA 92110, USA",(619) 228-9059,https://harlandbeer.com/,,Monday: 12:00 – 9:00 PM | Tuesday: 12:00 – 9:00 PM | Wednesday: 12:00 – 9:00 PM | Thursday: 12:00 – 9:00 PM | Friday: 12:00 – 9:00 PM | Saturday: 12:00 – 9:00 PM | Sunday: 12:00 – 7:00 PM,4.6,120,,Google Places API,2026-05-05,32.7825442,-117.2066805,ChIJcVASz3qr3oAR-eq_wZzD1L0,https://maps.google.com/?cid=13678773046263933689&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,,,,,
Luce Bar & Kitchen,"1959 Morena Blvd, San Diego, CA 92110, USA",(619) 275-0321,http://www.sandiegoluce.com/#menu,,Monday: 11:00 AM – 9:00 PM | Tuesday: 11:00 AM – 9:00 PM | Wednesday: 11:00 AM – 9:00 PM | Thursday: 11:00 AM – 9:00 PM | Friday: 11:00 AM – 9:30 PM | Saturday: 10:00 AM – 9:30 PM | Sunday: 10:00 AM – 9:00 PM,4.7,1439,PRICE_LEVEL_MODERATE,Google Places API,2026-05-05,32.781546299999995,-117.20695620000001,ChIJtyi8aJuq3oARczfCenTNrJk,https://maps.google.com/?cid=11073451483956655987&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,,,,,
Plaza Del Sol,"Parking lot, 1775 E Mission Bay Dr., San Diego, CA 92109, USA",(619) 677-1161,http://www.missionbayresort.com/plaza-del-sol,,Monday: Closed | Tuesday: Closed | Wednesday: Closed | Thursday: 3:00 – 10:00 PM | Friday: 3:00 – 10:00 PM | Saturday: 3:00 – 10:00 PM | Sunday: Closed,4.6,9,,Google Places API,2026-05-05,32.7789152,-117.21116509999999,ChIJyTGPkVmr3oAR8iFGqYn84lw,https://maps.google.com/?cid=6693189664406643186&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,,,,,
Dizzy's,"1717 Morena Blvd, San Diego, CA 92110, USA",(858) 270-7467,https://dizzysjazz.com/,,,4.4,119,PRICE_LEVEL_INEXPENSIVE,Google Places API,2026-05-05,32.776825599999995,-117.20711480000001,ChIJIx2esVBT2YARBAaA5BKbSaE,https://maps.google.com/?cid=11621990818851587588&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,,,,,
Poseidon Project,"4126 Napier St, San Diego, CA 92110, USA",(619) 230-5334,https://www.poseidonprojectsd.com/,,Monday: 4:00 – 9:00 PM | Tuesday: 4:00 – 9:00 PM | Wednesday: 4:00 – 9:00 PM | Thursday: 4:00 – 9:00 PM | Friday: 12:00 – 11:00 PM | Saturday: 12:00 – 11:00 PM | Sunday: 12:00 – 9:00 PM,4.4,225,PRICE_LEVEL_MODERATE,Google Places API,2026-05-05,32.782478999999995,-117.206367,ChIJ5VwTgpyq3oAR8CDkCPhDHeo,https://maps.google.com/?cid=16869714511779864816&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,,,,,
Bay Park Fish Company,"4121 Ashton St, San Diego, CA 92110, USA",(619) 276-3474,http://www.bayparkfishcompany.com/,,Monday: 11:00 AM – 8:00 PM | Tuesday: 11:00 AM – 9:00 PM | Wednesday: 11:00 AM – 9:00 PM | Thursday: 11:00 AM – 9:00 PM | Friday: 11:00 AM – 9:00 PM | Saturday: 11:00 AM – 9:00 PM | Sunday: 11:00 AM – 9:00 PM,4.6,1612,PRICE_LEVEL_MODERATE,Google Places API,2026-05-05,32.7815272,-117.20661,ChIJn9M6bpuq3oARMD0xl-yvElQ,https://maps.google.com/?cid=6058097879450467632&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,,,,,
Covewood Restaurant,"1775 E Mission Bay Dr., San Diego, CA 92109, USA",(619) 275-7922,https://www.missionbayresort.com/covewood-restaurant/?utm_source=gmb-restaurant&utm_medium=organic&utm_campaign=gmb,,Monday: 7:00 AM – 9:00 PM | Tuesday: 7:00 AM – 9:00 PM | Wednesday: 7:00 AM – 9:00 PM | Thursday: 7:00 AM – 9:00 PM | Friday: 7:00 AM – 10:00 PM | Saturday: 7:00 AM – 10:00 PM | Sunday: 7:00 AM – 9:00 PM,4.2,465,,Google Places API,2026-05-05,32.779480299999996,-117.21143169999998,ChIJN7_6JoWq3oARfeRubVhGQIk,https://maps.google.com/?cid=9889982127312659581&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,,,,,
